title,summary,tags,keywords,parameter_hints,modeling_notes,feature_pattern,failure_modes,validation_rules,example_prompt,shape_type,memory_type,quality_score,source_table
"KHK Spur Gear Standard Geometry","Standard spur gears can be derived from tooth count and module or diametral pitch. Use 20 degree pressure angle unless the prompt explicitly says otherwise.","gear;spur;khk;geometry;standards","gear;spur;diametral pitch;module;pressure angle;pitch diameter;root diameter;center distance","If prompt gives diametral pitch P and tooth count N, set pitchDiameter = N / P and pitchRadius = N / (2 * P).;If prompt gives module m, set pitchDiameter = m * N and convert mm to inches if needed.;Expose numTeeth, pitch radius, face width, bore radius, and pressure angle.","For standard spur gears, addendum = 1 module and tooth depth = 2.25 module, so root diameter = pitchDiameter - 2.5 module.;Base diameter = pitchDiameter * cos(pressureAngle).;Center distance for a meshing pair = (pitchDiameter1 + pitchDiameter2) / 2.","Use AI-authored involute-style gear logic; compute pitch radius from DP or module, then generate the tooth sketch and extrude to face width.","Do not confuse gear ratio with tooth count.;Do not hide tooth count or pitch radius inside hardcoded geometry.","Use 20 degree pressure angle by default.;numTeeth must stay at or above 6.;root radius < pitch radius < tip radius.","32 tooth 20 DP spur gear with 0.5 inch face width and 0.25 inch bore",GEAR_SPUR,seed,0.84,cad_knowledge
"SDP-SI Timing Pulley Pitch Cylinder","Timing pulley pitch diameter comes from tooth count and belt pitch. For first-pass CAD, approximate the pulley body as a parametric cylinder or bushing using pitch diameter and width.","pulley;timing belt;gt2;htd;pitch diameter","timing pulley;gt2;htd;belt pitch;pitch diameter;outside diameter;flange;idler","pitchDiameter = toothCount * beltPitch / pi.;Expose tooth count, belt pitch, belt width, bore radius, and optional flange diameter.;Use 2 mm for GT2, 3 mm for GT2 or HTD, and 5 mm for HTD when the prompt names those standards.","Use pitch diameter as the main editable radius for simplified CAD.;Outside diameter is smaller than pitch diameter for synchronous pulleys.;For concept CAD, do not generate every tiny belt tooth unless the user explicitly asks for manufacturing detail.","Parse toothCount plus beltPitch, compute pitch diameter, then use AI-authored CYLINDER or BUSHING-style geometry with optional flange features.","Do not confuse outside diameter with pitch diameter.;Do not generate dozens of tiny teeth for a rough concept model.","Pitch diameter must stay positive.;Bore radius must be smaller than the pulley outer radius.;Keep at least one width parameter editable.","GT2 20 tooth pulley 9 mm wide with 8 mm bore",CYLINDER,seed,0.8,cad_knowledge
"REV MAXTube 2x1 Structural Envelope","Common robot tube stock is 2 x 1 inch 6061 aluminum with several wall options. Use box or channel style templates with explicit wall thickness and patterned hole spacing.","frc;structure;tube;maxtube;rev","maxtube;2x1;aluminum tube;channel;box tube;robot frame;0.5 pitch;10-32","Default outer size 2 x 1 inch.;Common wall thicknesses: 0.04, 0.0625, 0.125, or 0.188 inch.;If matching MAX pattern structure, expose length and hole spacing around 0.5 inch pitch.","Use a rectangular envelope first, then add hole or slot patterns if the prompt calls for them.;For U-channel prompts, prefer a closed sketch with wall thickness rather than shelling a solid after the fact.;If a side is open, define the open face explicitly instead of assuming a closed tube.","BOX or PLATE_HOLES template for rough envelopes; use a custom wall-thickness sketch when the user clearly wants an open channel.","Do not assume every structural tube is solid.;Do not omit wall thickness when the part is a tube or channel.","Inner width and height must stay positive after wall thickness.;Hole spacing should preserve edge margin.","2x1 robot tube 18 inches long with 0.125 inch wall and 0.5 inch hole pitch",BOX,seed,0.78,cad_knowledge
"REV Flanged Bearing Envelope","Common robot flanged bearings come in 1.125 inch, 1 inch, and 0.875 inch outside diameters, so bearing blocks should expose bearing-OD-driven pockets instead of arbitrary hole sizes.","bearing;flanged;rev;robot;mount","bearing;flanged;1.125 OD;1 inch OD;0.875 OD;bearing block;press fit;rounded hex","Common bearing ODs: 1.125 inch, 1 inch, and 0.875 inch.;Common widths from the referenced parts are about 0.281 inch and 0.5 inch.;Expose bearing OD or bore radius plus block width, height, and thickness.","Size the bearing pocket from bearing OD, not shaft size.;Keep extra wall material around the pocket and separate mounting holes from the bearing bore.;If the prompt is for a flanged bearing block, leave room for the flange lip rather than cutting a full through hole by default.","Plate or box profile with centered bearing pocket, optional flange shoulder, then extrude to bearing width or slightly less.","Do not size the pocket from the shaft bore instead of the bearing OD.;Do not make block thickness less than the bearing width.","Block width should be at least 2.5x the bearing radius.;Pocket radius should match the selected bearing OD / 2.","bearing block for 1.125 inch OD flanged bearing 1.5 inches wide and 0.281 inches thick",BOX,seed,0.8,cad_knowledge
"Picture Frame Ring Profile","Frames are usually easiest as an outer rectangle with an inner rectangular cutout, then a single ring extrusion. Keep the ring width editable instead of baking in decorative detail.","frame;picture frame;ring;art","frame;picture frame;border;ring;rectangular cutout;mat opening","Expose outer width, outer height, frame width, and thickness.;If the prompt mentions a photo opening, derive the inner opening from the outer size minus twice the frame width.","Sketch the outer and inner loops in one sketch and extrude the ring region.;Keep the profile centered around the origin so later symmetry edits are easy.;Only add rabbets or decorative steps when the prompt supplies enough dimensions.","Outer rectangle plus centered inner rectangle, solve once, then extrude the ring region as a single body.","Do not extrude a full plate and cut the opening later unless the prompt needs that exact history.;Do not let frame width consume the opening.","Inner opening width and height must remain positive.;Frame width should stay less than half of the smaller outer dimension.","picture frame 12 by 10 inches with 1 inch border and 0.75 inch thickness",BOX,seed,0.74,cad_knowledge
"Scissor Blade Pair Simplification","For scissors, start by modeling one editable blade half as a tapered linkage with a pivot hole and handle loop, then let the user mirror or duplicate it later. Decompose assembly requests into a single robust part first.","scissors;linkage;tool;hinge","scissors;shears;blade;pivot;handle;finger loop;linkage","Expose blade length, handle length, stock width, thickness, pivot hole radius, and tip taper.;If no finger loop size is given, keep the handle loop simple and oversized rather than decorative.","Prefer one closed 2D blade silhouette with a pivot hole, then extrude to thickness.;Treat a full scissor assembly as two mirrored single-part blades rather than trying to generate an assembly in one feature.;Keep the cutting edge implied by profile taper instead of attempting sharpened sheet geometry.","Single editable blade profile with pivot hole and handle loop, solved in one sketch and extruded to thickness.","Do not attempt an entire articulated assembly in one FeatureScript feature.;Do not put the pivot hole too close to the handle or blade edges.","Pivot hole radius must stay smaller than half the stock width.;Leave material around the pivot hole and handle loop.","single scissor blade 7 inches long with 0.25 inch pivot hole and 0.125 inch thickness",LINKAGE,seed,0.72,cad_knowledge
"Electronics Enclosure Shell Strategy","For speaker boxes, computer housings, and small appliance shells, use an outer envelope with editable wall thickness and simplify openings until the main shell is stable.","enclosure;shell;housing;electronics","enclosure;speaker;computer tower;case;housing;shell;wall thickness;opening","Expose width, height, depth, wall thickness, and optional opening size.;If the exact open face is unclear, default to an open top or removable front panel and make that assumption editable later.","Start from the main outer envelope and define the inner cavity from wall thickness.;Add ports, vents, or cutouts only after the shell dimensions are stable.;Prefer rectangular or softly rounded envelopes before attempting complex blends.","Outer box or shell profile first, then subtract or omit the open face, then add simple cutouts.","Do not let wall thickness consume the inner cavity.;Do not start with decorative vents or fillets before the primary envelope works.","Inner width, height, and depth must remain positive.;Wall thickness should stay well below the smallest outer dimension.","small speaker enclosure 8 by 5 by 4 inches with 0.25 inch walls and open back",BOX,seed,0.76,cad_knowledge
"Freeform Relief Simplification","For rocks, organic props, and artwork reliefs, simplify the first pass into layered profiles or a smoothed silhouette instead of fragile spline spam. The goal is editable overall shape, not perfect sculpting.","freeform;organic;relief;art","rock;organic;relief;artwork;height map;smooth silhouette;loft;spline","Expose overall width, height, depth, and one or two curvature-control parameters.;If contours are missing, keep the first pass as a simplified envelope with editable smoothness rather than guessing every bump.","Use a small number of guide curves, lofts, or layered profiles if the prompt truly needs freeform geometry.;If the prompt is vague, prefer a simple solid envelope the user can edit later.;Separate silhouette control from thickness so the user is not trapped by one frozen freeform body.","Simplified silhouette or layered contour workflow, then extrude, loft, or revolve only after the outline is stable.","Do not generate dozens of random splines with no dimensional meaning.;Do not claim perfect organic fidelity from one text prompt.","All primary dimensions should stay editable.;If freeform detail is inferred, call that out in the reasoning.","rounded rock relief 6 inches wide 4 inches tall and 1 inch deep with soft edges",CUSTOM,seed,0.7,cad_knowledge
"FeatureScript Cylinder And Bore Profile","For cylinders, tubes, and top-bore parts, build the profile from concentric vector-centered circles and extrude the solved sketch region. This is the most stable path for editable radius, height, and bore parameters.","featurescript;cylinder;primitive;compile","opCylinder;cylinder;shaft;rod;pin;primitive;bottomCenter;topCenter;radius;vector;skCircle;bore","Expose radius, height, and optional hole radius as editable parameters.;Use vector(0, 0) * inch for the profile center and keep the bore smaller than the outer radius.","Prefer concentric sketch circles plus one extrude for cylinders with bores or hollow interiors.;Use opCylinder mainly for plain solid shafts or pegs.;If more detail is needed later, combine the solid body with revolve or boolean operations.","skCircle outer at vector(0, 0) * inch -> optional inner bore circle -> skSolve -> opExtrude annular or solid region.","Do not let the bore radius equal or exceed the outer radius.;Do not pass qSketchRegion the sketch variable instead of the sketch id expression.","Hole radius must stay below outer radius.;Height and radius should remain positive.","cylindrical tube 0.25 inch radius and 2 inch height with a 0.1 inch bore",CYLINDER,seed,0.91,cad_knowledge
"Organic Revolved Taper Profile","Carrots and similar organic tapered parts should start from one clean side profile with multiple spline points, then revolve around a line axis. The goal is editable silhouette and taper, not random spline noise.","organic;revolve;spline;carrot","carrot;organic;taper;revolve;skFitSpline;line axis;profile","Expose base radius, overall height, and optional stem controls.;Use 4 to 7 profile points so the taper and bulge are meaningful.","Use a vertical axis line and a spline side with several control points.;Keep the silhouette smooth, tapered, and slightly asymmetric only if the prompt calls for it.;Use a separate small stem or cap feature only after the main revolved body is valid.","Axis line plus 4-7 point skFitSpline side profile, solved once, then opRevolve around a Line axis.","Do not use a two-point spline for an organic body.;Do not use qSketchEntity or qCreatedBy queries as the revolve axis.","The revolve axis must be a Line.;The profile should close cleanly before revolve.","realistically shaped carrot with editable base radius and length",CUSTOM,seed,0.86,cad_knowledge
