title,summary,tags,keywords,parameter_hints,modeling_notes,feature_pattern,failure_modes,validation_rules,example_prompt,shape_type,memory_type,quality_score,source_table,memory_only
"Recognized Shapes Should Still Be AI-Authored","If the prompt clearly matches a supported shape, keep the geometry editable but let the Groq model author the FeatureScript first. Use fallback templates only when the AI result still fails static validation.","pruning;ai_first;route;safety","ai first;recognized shape;compile safe;editable;fallback","Keep user-facing parameters in precondition fields.;If a supported shape is recognized, expose its main dimensions instead of hardcoding them.","Favor AI-authored geometry first, then use repair plus validation before any fallback path.;Template fallback is only for emergency recovery after fatal issues remain.","Known shape -> AI-authored FeatureScript -> validate -> debug repair -> fallback only if still fatal.","Do not route obvious box, gear, flange, linkage, or bushing prompts straight to templates before giving the model a chance to author working code.","Supported shapes should keep editable parameters in the dialog.;Compile safety still matters more than decorative complexity on the first pass.","20 tooth gear with bore and face width",CUSTOM,pruning_rule,0.9,pruning_table,true
"Gear Prompts Must Expose Tooth Count Radius Face Width Bore And Pressure Angle","Whenever the prompt asks for a spur gear or pinion, the generated feature should let the user change tooth count, pitch radius, face width, bore radius, and pressure angle directly.","pruning;gear;editable","gear;spur;pinion;numTeeth;radius;pressure angle;face width;bore","Expose numTeeth as integer.;Expose pitch radius, face width, and bore radius as lengths.;Expose pressure angle as an integer degree parameter between 10 and 30.","Use AI-authored sketch geometry for gears, but keep the tooth math derived from runtime parameters instead of frozen coordinates.;Prefer stable involute approximations and editable dialog parameters.","AI-authored involute-style tooth math plus solved sketch and blind extrude.","Do not return a gear where only depth is editable.;Do not hardcode pitch geometry into fixed sketch coordinates.","numTeeth >= 6.;Pressure angle stays between 10 and 30 degrees.;Bore radius remains smaller than the root radius.","24 tooth spur gear with 2 inch pitch diameter and 0.5 inch face width",GEAR_SPUR,pruning_rule,0.92,pruning_table,true
"Assembly Or Multi-Part Prompts Should Decompose To One Robust Part First","If the user asks for scissors, hinges, or other assemblies, generate one solid editable part first and describe how the second part can be mirrored or duplicated later.","pruning;assembly;decompose","assembly;multi-part;hinge;scissors;mirror;duplicate;single part","Expose the key dimensions for one reusable part.;If symmetry exists, keep the base half centered and mirror-friendly.","One clean editable part is more useful than a broken pseudo-assembly.;Use linkage-style or plate-style templates when the assembly naturally decomposes into repeated parts.","Decompose prompt -> choose nearest single-part template -> keep the sketch centered and editable.","Do not attempt mates, joints, or multiple moving parts inside one custom feature unless explicitly supported.","If the request is multi-part, the first output should still compile as a single solid.;The reasoning should say when a prompt was decomposed.","single scissor blade with pivot hole and handle loop",CUSTOM,pruning_rule,0.84,pruning_table,true
"Unsupported Timing Pulley Teeth Simplify To A Pitch Cylinder","Timing pulleys should usually start as a pitch-diameter cylinder or bushing with editable width and bore, not as fragile full tooth geometry. This is especially useful for GT2 and HTD prompts.","pruning;pulley;simplify","timing pulley;gt2;htd;pitch diameter;idler;bore","Expose tooth count, belt pitch, width, and bore.;If flanges matter, expose flange diameter as a separate length.","Until there is a dedicated pulley tooth template, a simplified pitch cylinder is the safer CAD answer.;Use knowledge formulas to compute pitch diameter from tooth count and belt pitch.","Timing pulley prompt -> compute pitch diameter -> CYLINDER or BUSHING style body with optional flanges.","Do not generate dozens of micro-teeth for a concept pulley.;Do not confuse pitch diameter and outside diameter.","Pitch diameter must be positive.;Bore radius must stay below the outer radius.","GT2 20 tooth pulley 9 mm wide with 8 mm bore",CYLINDER,pruning_rule,0.82,pruning_table,true
"Bearing Pockets Must Be Derived From Bearing Outside Diameter","When the user asks for a bearing block or bearing pocket, derive the pocket from the bearing outside diameter, not from the shaft or hex bore size.","pruning;bearing;pocket","bearing block;pocket;outside diameter;press fit;flanged bearing","Expose bearing OD or bore radius, block width, block height, and thickness.;Keep mounting holes separate from the bearing pocket parameters.","For bearing mounts, the bearing OD is the controlling geometry and the shaft bore is secondary.;Keep wall thickness around the pocket generous on first-pass CAD.","Centered bore or pocket inside a plate or block profile, then extrude to bearing width or block depth.","Do not size the pocket from the shaft bore.;Do not let mounting holes collide with the bearing pocket.","Pocket radius = bearing OD / 2.;Block envelope must leave material around the pocket.","bearing block for 1.125 inch OD bearing",BOX,pruning_rule,0.83,pruning_table,true
"Tube And Channel Prompts Must Expose Wall Thickness","Tube, structural rail, and channel prompts should always expose outer size, length, and wall thickness. Thin-wall geometry should come from the sketch profile, not a late shell when possible.","pruning;structure;wall thickness","tube;channel;box tube;u-channel;rail;wall thickness","Expose outer width, outer height, length, and wall thickness.;If holes are mentioned, keep spacing editable too.","Sketch wall-driven cross-sections directly for open channels or tube rings.;Start from the envelope and add patterns later.","Closed profile with inner cavity or open channel sketch, then blind extrude to length.","Do not return a solid prism when the prompt clearly asks for tubing or channel.;Do not omit wall thickness from the dialog.","Inner cavity must stay positive after wall thickness.;Hole pattern should keep edge margin.","2x1 channel 24 inches long with 0.125 inch wall",BOX,pruning_rule,0.83,pruning_table,true
"Organic Or Freeform Prompts Need Simplified First Pass Geometry","Freeform requests should default to a simplified silhouette, loft, or layered profile strategy instead of unbounded spline noise. The first answer should be editable and stable.","pruning;organic;freeform","organic;freeform;rock;relief;art;loft;spline;silhouette","Expose overall width, height, depth, and at least one smoothness control if detail is inferred.","Keep the first pass dimensional and editable.;Use a few guide curves or profiles only when the prompt clearly supports them.","Simplified silhouette or layered contours first, then optional loft or smoothing operations.","Do not generate dozens of arbitrary splines with no dimensional meaning.;Do not promise perfect sculptural fidelity from one text prompt.","Primary outer dimensions stay editable.;Reasoning should mention inferred detail when confidence is low.","organic relief plaque with editable width height and depth",CUSTOM,pruning_rule,0.78,pruning_table,true
"Sketch Safety Before Extrude Or Revolve","Before any downstream solid operation, the generator should create one stable sketch, solve it, and avoid invalid APIs or unit mistakes. This pruning rule is meant to demote brittle patterns early.","pruning;compile;safety;sketch","skSolve;qSketchRegion;opExtrude;opRevolve;invalid api;units;fCylinder","If a part is sketch-based, keep the main closed loops in one sketch and solve before extruding.;If dimensions are editable lengths, use them directly in the body without multiplying by inch again.","Prefer one stable sketch history over many disconnected micro-operations.;Use valid FeatureScript APIs and known map keys only.;For simple cylindrical solids in this project, prefer fCylinder over opCylinder.","Sketch -> skSolve -> opExtrude or opRevolve with valid map fields.","Do not use definition.param is Length.;Do not teach opCylinder for simple cylindrical solids in this codebase.;Do not forget the sketch creation step before sketch entities.","Exactly one exported feature should exist.;Sketch-based solids must call skSolve before solid operations.","parametric mounting plate with safe sketch history",CUSTOM,pruning_rule,0.9,pruning_table,true
"Hole And Slot Patterns Need Edge Margin","When generating mounting plates or slotted parts, keep hole size, slot size, and spacing editable while preserving material around edges and between features.","pruning;holes;slots;margin","hole pattern;slot;mounting plate;edge margin;spacing","Expose hole radius or slot width, spacing, and plate envelope.;If the prompt is ambiguous, center the pattern and leave margin at both ends.","Use a single sketch containing the outer profile and all holes or slots.;Slots should be built from circles and tangent lines or a known capsule pattern.","Outer profile plus hole or slot cutouts in one solved sketch, then extrude the remaining region.","Do not place holes or slots outside the plate envelope.;Do not let slots remove all remaining wall material.","Hole or slot edges should keep visible margin to the outer boundary.;Pattern spacing must stay positive.","mounting plate with two 1.5 inch slots and centered edge margin",PLATE_HOLES,pruning_rule,0.8,pruning_table,true
"Enclosure Prompts Default To A Simple Open-Top Shell","For housings and enclosures, prefer a stable shell-like envelope with editable wall thickness and one obvious open face. Only add vents or cosmetic features after the main shell is valid.","pruning;enclosure;shell","enclosure;housing;shell;open top;wall thickness;case","Expose width, height, depth, wall thickness, and opening orientation if given.;If the open face is unclear, default to an open top or removable front panel.","Keep the main envelope simple and editable.;Treat vents, bosses, and fillets as secondary refinements after the shell works.","Outer envelope first -> derive cavity from wall thickness -> leave one open face and add simple cutouts later.","Do not start with decorative features before the cavity is valid.;Do not let wall thickness eliminate the interior.","Inner cavity dimensions must remain positive.;Open-face assumption should be clear in the reasoning if inferred.","electronics enclosure with 0.1 inch walls and open top",BOX,pruning_rule,0.8,pruning_table,true
