#GEOTYPE|ST|GEO_ID|GEO_LABEL|GEO_ID_F|COMM|COMM_LABEL|YEAR|VAL|VAL_F|VALPCHG|VALPCHG_F|TON|TON_F|TONPCHG|TONPCHG_F|AVGMILE|AVGMILE_F|AVGMILEPCHG|AVGMILEPCHG_F|VAL_S|VAL_S_F|VALPCHG_S|VALPCHG_S_F|TON_S|TON_S_F|TONPCHG_S|TONPCHG_S_F|AVGMILE_S|AVGMILE_S_F|AVGMILEPCHG_S|AVGMILEPCHG_S_F
01|00|0100000US|United States||0000|All Commodities|2022|2992166||55.7||1237954||53.8||290||13.7||2.7||6.4||8.9||14.2||17.6||24|
01|00|0100000US|United States||0000|All Commodities|2017|1922133||18.6||804713||20.4||255||25.1||3.1||5.2||2.6||4.2||11.8||16.5|
01|00|0100000US|United States||01|Animals and fish (live)|2022|0|S|0|S|0|S|0|S|610||-39||0|S|0|S|0|S|0|S|21||15.7|
01|00|0100000US|United States||01|Animals and fish (live)|2017|2394||267||404||233.3||1000||82.6||18.3||135.1||18.6||115.8||14.8||59.8|
01|00|0100000US|United States||010|Live animals and live fish|2022|0|S|0|S|0|S|0|S|610||-39||0|S|0|S|0|S|0|S|21||15.7|
01|00|0100000US|United States||010|Live animals and live fish|2017|2394||267||404||233.3||1000||82.6||18.3||135.1||18.6||115.8||14.8||59.8|
01|00|0100000US|United States||02|Cereal grains (includes seed)|2022|2966||0|S|10540||0|S|72||-37.9||47.5||0|S|44.4||0|S|17.6||14.8|
01|00|0100000US|United States||02|Cereal grains (includes seed)|2017|0|S|0|S|0|S|0|S|116||140.8||0|S|0|S|0|S|0|S|15.9||54.8|
01|00|0100000US|United States||021|Wheat|2022|0|S|0|S|0|S|0|S|216||0|S|0|S|0|S|0|S|0|S|41.8||0|S
01|00|0100000US|United States||022|Corn (excludes sweet)|2022|1252||0|S|4946||0|S|79||-31.7||17.2||0|S|16.8||0|S|14.7||14.8|
01|00|0100000US|United States||022|Corn (excludes sweet)|2017|0|S|0|S|0|S|0|S|115||0|S|0|S|0|S|0|S|0|S|15.9||0|S
01|00|0100000US|United States||029|Other cereal grains|2022|0|S|0|S|0|S|0|S|42||0|S|0|S|0|S|0|S|0|S|11.5||0|S
01|00|0100000US|United States||029|Other cereal grains|2017|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||03|Agricultural products (excludes animal feed, cereal grains, and forage products)|2022|134793||28.1||68730||4.3||197||-42.4||6.6||13.2||4.5||12.6||28.3||20.8|
