carrier,ticker,year,service_measure,rank,rank_denominator,normalized_percentile,overall_ranking,source_quality,source_publication_date,source_url,local_source_file,notes
Old Dominion Freight Line,ODFL,2021,Mastio National Carrier ranking,1,,,,CARRIER_IR_RELEASE_QUOTING_MASTIO,2021-11-30,https://ir.odfl.com/news-events/press-releases/detail/254/mastio-company-ranks-old-dominion-freight-line-no-1,,Official carrier release confirms ODFL #1; denominator and peer ranks not publicly retrieved.
Old Dominion Freight Line,ODFL,2022,Mastio National Carrier ranking,1,,,,CARRIER_IR_RELEASE_QUOTING_MASTIO,2022-10-11,https://ir.odfl.com/news-events/press-releases/detail/273/old-dominion-freight-line-named-no-1-national-ltl-carrier,,Official carrier release confirms ODFL #1; denominator and peer ranks not publicly retrieved.
Old Dominion Freight Line,ODFL,2023,Mastio National Carrier ranking,1,7,1.0,,CARRIER_IR_RELEASE_QUOTING_MASTIO,2023-10-24,https://www.businesswire.com/news/home/20231024169680/en/Old-Dominion-Freight-Line-Receives-Prestigious-Mastio-Quality-Award-for-the-14th-Consecutive-Year,,ODFL #1 supported by official carrier release; denominator from Phase 1C request.
Saia,SAIA,2023,Mastio National Carrier ranking,3,7,0.6667,,TRADE_PUBLICATION_PLUS_USER_SPECIFIED_DENOMINATOR,2023-10-23,https://www.freightwaves.com/news/ltl-survey-averitt-no-1-overall-old-dominion-top-national-carrier,,Rank from Phase 1C request; trade source confirms Saia top-five national rank.
XPO North American LTL,XPO,2023,Mastio National Carrier ranking,4,7,0.5,,TRADE_PUBLICATION_PLUS_USER_SPECIFIED_DENOMINATOR,2023-10-23,https://www.freightwaves.com/news/ltl-survey-averitt-no-1-overall-old-dominion-top-national-carrier,,Rank from Phase 1C request; trade source confirms XPO top-five national rank.
FedEx Freight,FDXF,2023,Mastio National Carrier ranking,6,7,0.1667,,USER_PROVIDED_PENDING_OFFICIAL,2023-10-23,https://www.freightwaves.com/news/ltl-survey-averitt-no-1-overall-old-dominion-top-national-carrier,,Rank from Phase 1C request; official Mastio 19th Edition full press release not publicly retrieved.
Old Dominion Freight Line,ODFL,2024,Mastio National Carrier ranking,1,,,,TRADE_PUBLICATION,2024-10-15,https://www.freightwaves.com/news/ltl-survey-daylight-transport-no-1-overall-old-dominion-top-national-carrier,,FreightWaves reports ODFL top national carrier; denominator not publicly retrieved.
XPO North American LTL,XPO,2024,Mastio National Carrier ranking,4,,,,TRADE_PUBLICATION,2024-10-15,https://www.freightwaves.com/news/ltl-survey-daylight-transport-no-1-overall-old-dominion-top-national-carrier,,FreightWaves reports XPO held national rank #4; denominator not publicly retrieved.
Saia,SAIA,2024,Mastio National Carrier ranking,5,,,,TRADE_PUBLICATION,2024-10-15,https://www.freightwaves.com/news/ltl-survey-daylight-transport-no-1-overall-old-dominion-top-national-carrier,,FreightWaves reports Saia national rank #5; denominator not publicly retrieved.
FedEx Freight,FDXF,2024,Mastio National Carrier ranking,,,,,NOT_AVAILABLE,2024-10-15,https://www.freightwaves.com/news/ltl-survey-daylight-transport-no-1-overall-old-dominion-top-national-carrier,,FedEx exact national-carrier rank not publicly retrieved; do not infer.
Old Dominion Freight Line,ODFL,2025,Mastio National Carrier ranking,1,8,1.0,,CARRIER_IR_RELEASE_QUOTING_MASTIO,2025-10-07,https://ir.odfl.com/news-events/press-releases/detail/332/old-dominion-freight-line-selected-1-national-ltl-carrier,outputs\phase1b_ltl_peer_panel\sources\MASTIO_2025_ODFL_official_release.html,ODFL #1 official carrier release; denominator from public 21st Edition summary.
XPO North American LTL,XPO,2025,Mastio National Carrier ranking,4,8,0.5714,,SECONDARY_PUBLIC_SUMMARY,2025-10-08,https://www.gain.consulting/post/2025-mastio-ltl-carrier-rankings-insights-into-customer-value-and-loyalty,outputs\phase1b_ltl_peer_panel\sources\MASTIO_2025_secondary_Gain_rankings.html,Public summary of 21st Edition national-carrier ranking.
Saia,SAIA,2025,Mastio National Carrier ranking,6,8,0.2857,,SECONDARY_PUBLIC_SUMMARY,2025-10-08,https://www.gain.consulting/post/2025-mastio-ltl-carrier-rankings-insights-into-customer-value-and-loyalty,outputs\phase1b_ltl_peer_panel\sources\MASTIO_2025_secondary_Gain_rankings.html,Public summary of 21st Edition national-carrier ranking.
FedEx Freight,FDXF,2025,Mastio National Carrier ranking,7,8,0.1429,,SECONDARY_PUBLIC_SUMMARY,2025-10-08,https://www.gain.consulting/post/2025-mastio-ltl-carrier-rankings-insights-into-customer-value-and-loyalty,outputs\phase1b_ltl_peer_panel\sources\MASTIO_2025_secondary_Gain_rankings.html,Public summary of 21st Edition national-carrier ranking.
