title,summary,tags,keywords,parameter_hints,modeling_notes,feature_pattern,failure_modes,validation_rules,example_prompt,shape_type,memory_type,quality_score,source_table,memory_only
CAD-MLLM Hierarchical Command Decomposition,"Break a prompt into sketch, profile, operation, boolean, and finishing subtasks before writing FeatureScript.",cad-mllm;planning;decomposition;command-sequence,plan;decompose;retrieve;generate;validate;repair;command;sequence;subtask,shapeClass;operation;profileCount;featureOrder;fallbackTemplate,"Classify the requested shape before code generation.;Select revolve, loft, sweep, extrude, shell, pattern, or boolean per subtask.;Attach validation rules and retrieval keywords to every subtask.;Use fallback templates only after repair fails.",prompt -> ordered subtasks -> retrieved rows/snippets -> one FeatureScript body -> validation/repair/fallback.,single-shot hallucinated API;wrong primitive choice;lost parameters,plan.subtasks.length >= 1;each subtask has operation and validationFocus;fallbackTemplate is defined,Create a carrot-like body with a mounting flange and bolt holes,CUSTOM,seed,0.86,cad_knowledge,false
Silhouette Driven Organic Revolve,Use a closed side silhouette and a true sketch-plane axis to create stable organic axisymmetric shapes.,revolve;organic;silhouette;spline,revolve;silhouette;skFitSpline;axis;Line;carrot;vase;pod,baseRadius;height;tipRadius;curvatureFactor;controlPointFractions,"Draw axis at sketch x=0 and keep all profile x values nonnegative.;Use 5 to 7 spline control points at percentage heights.;Close the profile with axis, base, and top line segments.;Call skSolve before opRevolve.;Use line(skPlane.origin, cross(skPlane.normal, skPlane.x)) for a local Y-axis revolve.","axis + 5-point skFitSpline + closing lines + skSolve + opRevolve(profileSubquery, Line axis, 2*PI*radian).",axis not a Line;open profile;spline crosses axis;only two spline points,all profile x >= 0;tipRadius <= baseRadius;skSolve before opRevolve;axis expression returns Line,Parametric carrot 0.75 inch base radius 4 inch height with smooth taper,CUSTOM,seed,0.86,cad_knowledge,false
Multi Profile Loft Transition,"Loft stable transitions by solving separate, ordered profile sketches on offset planes with matching topology or intermediate profiles.",loft;transition;profiles;organic,opLoft;profileSubqueries;square;circle;intermediate;topology,height;squareSize;circleRadius;profileOffset;intermediateScale,"Each loft section should be its own solved sketch.;Use profileSubqueries in order along the loft direction.;For circle-to-rectangle transitions, insert a rounded-square or multi-profile bridge.;Keep profiles centered on a shared axis unless prompt says otherwise.","sketchA on base plane + sketchB on offset plane + skSolve both + opLoft({profileSubqueries:[qSketchRegion(...), ...]}).",topology mismatch;wrong opLoft keys;unsolved profile sketch;profiles out of order,profile_similarity_score >= 0.7 or insert intermediate profile;opLoft uses profileSubqueries;all profiles solved,Create a 2 inch square to 1 inch circle transition over 3 inches,CUSTOM,seed,0.86,cad_knowledge,false
Sweep Along Connected Tube Path,"For elbows and pipes, sketch a connected path wire and sweep a profile from a plane normal to the starting tangent.",sweep;pipe;tube;path;elbow,opSweep;profile;path;arc;wire;perpendicular;pipe elbow,outerRadius;bendRadius;wallThickness;pathAngle;profilePlane,"Create the path sketch first and solve it.;Place the circular profile on a plane perpendicular to the start tangent.;Use qCreatedBy(pathSketch, EntityType.EDGE) for the path.;For hollow pipes, add an inner circle to the profile region.","path sketch arc + skSolve + perpendicular profile sketch circle + skSolve + opSweep({profiles:qSketchRegion(profile), path:qCreatedBy(path, EDGE)}).",disconnected path;profile not perpendicular;profile larger than bend radius;path query is a region,path edges connected;outerRadius < bendRadius;profile sketch solved before opSweep,Create a 90 degree pipe elbow with 0.5 inch radius and 2 inch bend radius,CUSTOM,seed,0.86,cad_knowledge,false
Shell First Enclosure Workflow,"Build a simple extruded envelope first, then shell it with a wall thickness that leaves valid interior volume.",shell;enclosure;housing;open-top,opShell;enclosure;wall thickness;open face;electronics housing,width;depth;height;wallThickness;openTop,"Sketch the outer rectangle and extrude before shelling.;Pass the face to remove/open to opShell and use negative thickness for inward shells.;Keep wallThickness less than half of width, depth, and height.;Add vents, bosses, and fillets after the shell succeeds.","outer sketch + skSolve + opExtrude + opShell(open face query, -wallThickness).",wall consumes cavity;opShell before body exists;wrong open face;decorative details first,"wallThickness < min(width,depth,height)/2;opShell occurs after opExtrude;open face query is a face",Open-top electronics enclosure 4 x 3 x 1.5 inches with 0.1 inch walls,BOX,seed,0.86,cad_knowledge,false
Hybrid Organic Mechanical Flange,"Combine an organic revolved body with a mechanically reliable flange, bolt circle, and boolean union.",hybrid;organic;flange;boolean;bolt-circle,carrot;flange;bolt holes;opBoolean;revolve;pattern,baseRadius;height;flangeRadius;flangeThickness;boltCircleRadius;boltRadius,"Create the organic body first with a closed revolve profile.;Create the flange on a plane perpendicular to the revolve axis.;Sketch outer ring, bore, and bolt holes in one solved sketch.;Extrude the flange, then union it with the body.",opRevolve organic body + flange ring sketch + opExtrude + opBoolean UNION.,flange plane not perpendicular;bolt holes outside flange;boolean target/tool reversed,boltCircleRadius + boltRadius < flangeRadius;flange bore >= body base radius;boolean tools and targets are bodies,Create a carrot-like organic body with a four bolt mounting flange,CUSTOM,seed,0.86,cad_knowledge,false
Multimodal Image To Profile Conditioning,"Convert image or sketch metadata into silhouette descriptors, normalized control points, and bounding boxes for the planner.",multimodal;image;silhouette;conditioning,image;silhouette;control points;bounding box;profile descriptor;CAD-MLLM,imageWidth;imageHeight;aspectRatio;normalizedControlPoints;shapeClass,Extract dimensions and aspect ratio from PNG/JPEG headers when no vision model is available.;Use user-provided silhouette points directly when present.;Feed normalized control points to revolve or loft planners.;Log descriptor confidence so retrieval can favor robust templates.,image/STEP/PCD -> bbox + control points + dominant axis -> plan retrieval keywords -> FS generation.,unavailable image decoder;ambiguous silhouette;bad scale inference,"descriptor.hasMultimodalInput implies descriptor.summary exists;control points remain normalized [0,1]",Use this sketch silhouette to make a smooth vase,CUSTOM,seed,0.86,cad_knowledge,false
DeepCAD Sketch Extrude Sequence Memory,DeepCAD-style JSON command sequences can be summarized as solved profile sketches followed by parametric extrudes.,deepcad;dataset;sketch;extrude;sequence,DeepCAD;sketch;extrude;Circle3D;Line3D;command sequence;CAD dataset,profileCurves;loopCount;extrudeDistance;operation,"Parse entities for Sketch and ExtrudeFeature records.;Convert closed line/circle loops into FeatureScript sketches.;Keep dataset units as source metadata, then expose Onshape inches defaults.;Use dataset summaries as retrieval snippets instead of importing raw heavy files.",DeepCAD JSON: Sketch profiles + ExtrudeFeature distance -> FS sketch + skSolve + opExtrude.,raw dataset too large;unknown units;non-closed loops;unsupported feature type,sample has at least one sketch and one operation;closed loops become qSketchRegion;raw archives stay gitignored,Generate a simple spacer from a DeepCAD circle sketch plus extrude command,CUSTOM,seed,0.86,cad_knowledge,false
Visual Inspection Repair Loop,"Use validation and visual feedback to detect spatial mismatches, then repair or replan before finalizing.",agent;visual-inspection;repair;validation,visual inspection;repair;replan;spatial reasoning;agent workflow,viewCount;validationIssues;repairAttempts;fallbackTemplate,"The Cambridge workflow shows visual feedback improves automated CAD generation.;Use multiple view descriptors when available, not a single perspective.;Record every repair attempt and retrieved row for traceability.;If repair fails, fallback to a validated template and mark the log.",generate -> static validate -> debug/repair -> optional visual descriptor check -> fallback template.,single-view misses;prompt dependency;spatial ambiguity;ask-back distraction,trace includes retrieved rows and scores;fallback_template true when repairs exhausted,Attempt a circle-to-rectangle loft and repair if profiles mismatch,CUSTOM,seed,0.86,cad_knowledge,false
Lofted Airfoil Section Stack,"Create wings and fins by lofting two or more airfoil-like closed spline profiles with chord, thickness, and span parameters.",airfoil;loft;wing;spline,airfoil;loft;chord;thickness;span;skFitSpline,rootChord;tipChord;span;thicknessRatio;sweepOffset,Use closed upper/lower spline profiles on root and tip planes.;Keep profile point counts similar across sections.;Add sweep offset as a plane origin shift rather than skewing the profile topology.;Use opLoft profileSubqueries.,root airfoil sketch + tip airfoil sketch + skSolve both + opLoft(profileSubqueries).,open airfoil profile;different point count;tip chord too small;wrong loft key,tipChord > 0;thicknessRatio between 0.03 and 0.2;profileSubqueries ordered root to tip,Loft a simple airfoil from 3 inch root chord to 1.5 inch tip chord over 8 inches,CUSTOM,seed,0.86,cad_knowledge,false
