observation_id,carrier,ticker,period_end_date,calendar_year,calendar_quarter,fiscal_year_reported,fiscal_quarter_reported,comparison_alignment,revenue_m,operating_income_m,adjusted_operating_income_m,operating_margin_pct,adjusted_operating_margin_pct,operating_ratio_pct,adjusted_operating_ratio_pct,avg_daily_shipments,shipments_yoy_pct,tonnage_per_day,tonnage_yoy_pct,weight_per_shipment_lbs,revenue_per_shipment,revenue_per_shipment_ex_fuel,revenue_per_cwt,revenue_per_cwt_ex_fuel,revenue_per_cwt_ex_fuel_yoy_pct,base_revenue_per_cwt_yoy_pct,comparability,comparability_note,source_key
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,ODFL,2024-03-31,2024,Q1,FY2024,Q1,EXACT,1460.073,386.426,,26.5,,73.5,,46931,-0.5,35380,-3.2,1508,482.24,403.71,31.98,26.78,6.7,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2024_Q1
ODFL_FY2024_Q2_2024-06-30,Old Dominion Freight Line,ODFL,2024-06-30,2024,Q2,FY2024,Q2,EXACT,1498.697,421.691,,28.1,,71.9,,48444,3.1,36560,1.9,1509,479.48,403.77,31.77,26.75,4.9,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2024_Q2
ODFL_FY2024_Q3_2024-09-30,Old Dominion Freight Line,ODFL,2024-09-30,2024,Q3,FY2024,Q3,EXACT,1470.211,401.861,,27.3,,72.7,,47967,-3.4,35408,-4.8,1476,477.7,405.85,32.36,27.49,4.6,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2024_Q3
ODFL_FY2024_Q4_2024-12-31,Old Dominion Freight Line,ODFL,2024-12-31,2024,Q4,FY2024,Q4,NOT_ALIGNED,1385.829,334.02,,24.1,,75.9,,45763,,34351,,1501,481.91,413.21,32.1,27.52,,,Comparable with caveat,Values sourced from prior-year column in 2025 Q4 comparative table; 2024-vs-2023 growth not in this source.,ODFL_2024_Q4_PRIOR
ODFL_FY2025_Q1_2025-03-31,Old Dominion Freight Line,ODFL,2025-03-31,2025,Q1,FY2025,Q1,EXACT,1374.858,338.055,,24.6,,75.4,,44566,-5.0,33135,-6.3,1487,485.79,414.68,32.67,27.89,4.1,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2025_Q1
ODFL_FY2025_Q2_2025-06-30,Old Dominion Freight Line,ODFL,2025-06-30,2025,Q2,FY2025,Q2,EXACT,1407.724,357.895,,25.4,,74.6,,44907,-7.3,33178,-9.3,1478,485.31,416.31,32.84,28.17,5.3,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2025_Q2
ODFL_FY2025_Q3_2025-09-30,Old Dominion Freight Line,ODFL,2025-09-30,2025,Q3,FY2025,Q3,EXACT,1406.511,360.844,,25.7,,74.3,,44201,-7.9,32231,-9.0,1458,494.17,419.67,33.88,28.78,4.7,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2025_Q3
ODFL_FY2025_Q4_2025-12-31,Old Dominion Freight Line,ODFL,2025-12-31,2025,Q4,FY2025,Q4,EXACT,1307.296,304.251,,23.3,,76.7,,41308,-9.7,30691,-10.7,1486,503.95,429.21,33.91,28.88,4.9,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2025_Q4
ODFL_FY2026_Q1_2026-03-31,Old Dominion Freight Line,ODFL,2026-03-31,2026,Q1,FY2026,Q1,EXACT,1334.696,317.341,,23.8,,76.2,,41037,-7.9,30584,-7.7,1491,514.56,434.16,34.52,29.13,4.4,,Comparable,ODFL single LTL segment; company reports operating ratio and daily metrics.,ODFL_2026_Q1
SAIA_FY2024_Q1_2024-03-31,Saia,SAIA,2024-03-31,2024,Q1,FY2024,Q1,EXACT,754.775,117.912,,15.6,,84.4,,32940,15.7,21750,6.2,1321,350.18,293.96,26.51,22.26,10.5,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2024_Q1
SAIA_FY2024_Q2_2024-06-30,Saia,SAIA,2024-06-30,2024,Q2,FY2024,Q2,EXACT,823.244,137.593,,16.7,,83.3,,36360,18.1,24360,9.7,1340,345.07,290.72,25.75,21.69,8.7,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2024_Q2
