observation_id,carrier,metric_name,metric_value,unit,period,source_type,source_title,source_url,source_publication_date,source_page_or_section,exact_reported_metric_label,reported_or_derived,derivation_formula,notes
FDXF_FY2026_Q4,FedEx Freight,revenue_m,2400,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,revenue_m,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,operating_income_m,158,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,adjusted_operating_income_m,363,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,adjusted_operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,avg_daily_shipments,86700,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,avg_daily_shipments,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,shipments_yoy_pct,-0.059,decimal,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,weight_per_shipment_lbs,948,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,weight_per_shipment_lbs,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,revenue_per_shipment,415.22,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,revenue_per_shipment,REPORTED,,First pass; page/section to be tightened during full extraction.
FDXF_FY2026_Q4,FedEx Freight,revenue_per_cwt,43.79,reported units,2026 Q2,Primary company / SEC source,Phase 1 captured release,https://ir.fedexfreight.com/news-events/press-releases/detail/185/fedex-freight-reports-fourth-quarter-and-full-fiscal-year-2026-financial-results,See source,Press release / operating statistics,revenue_per_cwt,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,operating_ratio_pct,0.762,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,operating_ratio_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,avg_daily_shipments,41037,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,avg_daily_shipments,REPORTED,,First pass; page/section to be tightened during full extraction.
