title,summary,tags,keywords,parameter_hints,modeling_notes,feature_pattern,failure_modes,validation_rules,example_prompt,shape_type,memory_type,quality_score,source_table,memory_only
FeatureScript Example revolve carrot,Compile-oriented FeatureScript template for revolve carrot.,featurescript;example;revolve;carrot,revolve;carrot;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Organic Revolve Carrot"" }
export const organicRevolveCarrot = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Base Radius"", ""Default"" : ""0.75 * inch"" }
        isLength(definition.baseRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Height"", ""Default"" : ""4 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Tip Radius"", ""Default"" : ""0.06 * inch"" }
        isLength(definition.tipRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Curvature Factor"", ""Default"" : ""100"" }
        isInteger(definition.curvatureFactor, {(unitless) : [60, 100, 140]});
    }
    {
        var skPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var b = definition.baseRadius / inch;
        var h = definition.height / inch;
        var t = definition.tipRadius / inch;
        var c = definition.curvatureFactor / 100;
        var sk = newSketchOnPlane(context, id + ""profile"", { ""sketchPlane"" : skPlane });
        skLineSegment(sk, ""axis"", { ""start"" : vector(0, 0) * inch, ""end"" : vector(0, h) * inch });
        skFitSpline(sk, ""skin"", { ""points"" : [
            vector(b, 0) * inch,
            vector(b * (0.88 + 0.04 * c), h * 0.20) * inch,
            vector(b * (0.62 + 0.08 * c), h * 0.45) * inch,
            vector(b * (0.32 + 0.06 * c), h * 0.70) * inch,
            vector(t, h) * inch
        ] });
        skLineSegment(sk, ""tipClose"", { ""start"" : vector(t, h) * inch, ""end"" : vector(0, h) * inch });
        skLineSegment(sk, ""baseClose"", { ""start"" : vector(0, 0) * inch, ""end"" : vector(b, 0) * inch });
        skSolve(sk);
        var revolveAxis = line(skPlane.origin, cross(skPlane.normal, skPlane.x));
        opRevolve(context, id + ""body"", {
            ""entities"" : qSketchRegion(id + ""profile""),
            ""axis"" : revolveAxis,
            ""angleForward"" : 2 * PI * radian
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the revolve carrot template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example loft transition square to circle,Compile-oriented FeatureScript template for loft transition square to circle.,featurescript;example;loft;transition;square;to;circle,loft;transition;square;to;circle;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Loft Square To Circle"" }
export const loftSquareToCircle = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Square Size"", ""Default"" : ""2 * inch"" }
        isLength(definition.squareSize, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Circle Radius"", ""Default"" : ""0.5 * inch"" }
        isLength(definition.circleRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Height"", ""Default"" : ""3 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Profile Offset"", ""Default"" : ""0 * inch"" }
        isLength(definition.profileOffset, NONNEGATIVE_ZERO_INCLUSIVE_LENGTH_BOUNDS);
    }
    {
        var basePlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var topPlane = plane(basePlane.origin + basePlane.normal * definition.height, basePlane.normal, basePlane.x);
        var halfSquare = definition.squareSize / (2 * inch);
        var skA = newSketchOnPlane(context, id + ""squareProfile"", { ""sketchPlane"" : basePlane });
        skRectangle(skA, ""square"", {
            ""firstCorner"" : vector(-halfSquare, -halfSquare) * inch,
            ""secondCorner"" : vector(halfSquare, halfSquare) * inch
        });
        skSolve(skA);
        var skB = newSketchOnPlane(context, id + ""circleProfile"", { ""sketchPlane"" : topPlane });
        skCircle(skB, ""circle"", { ""center"" : vector(definition.profileOffset / inch, 0) * inch, ""radius"" : definition.circleRadius });
        skSolve(skB);
        opLoft(context, id + ""loft"", {
            ""profileSubqueries"" : [qSketchRegion(id + ""squareProfile""), qSketchRegion(id + ""circleProfile"")]
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the loft transition square to circle template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example sweep pipe elbow,Compile-oriented FeatureScript template for sweep pipe elbow.,featurescript;example;sweep;pipe;elbow,sweep;pipe;elbow;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Sweep Pipe Elbow"" }
export const sweepPipeElbow = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Outer Radius"", ""Default"" : ""0.5 * inch"" }
        isLength(definition.outerRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Bend Radius"", ""Default"" : ""2 * inch"" }
        isLength(definition.bendRadius, LENGTH_BOUNDS);
    }
    {
        var skPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var r = definition.bendRadius / inch;
        var m = r * 0.70710678;
        var pathSk = newSketchOnPlane(context, id + ""path"", { ""sketchPlane"" : skPlane });
        skArc(pathSk, ""elbowArc"", {
            ""start"" : vector(r, 0) * inch,
            ""mid"" : vector(m, m) * inch,
            ""end"" : vector(0, r) * inch
        });
        skSolve(pathSk);
        var tangentStart = cross(skPlane.normal, skPlane.x);
        var profilePlane = plane(skPlane.origin + skPlane.x * definition.bendRadius, tangentStart, skPlane.normal);
        var profileSk = newSketchOnPlane(context, id + ""profile"", { ""sketchPlane"" : profilePlane });
        skCircle(profileSk, ""outer"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.outerRadius });
        skSolve(profileSk);
        opSweep(context, id + ""sweep"", {
            ""profiles"" : qSketchRegion(id + ""profile""),
            ""path"" : qCreatedBy(id + ""path"", EntityType.EDGE)
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the sweep pipe elbow template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example shell enclosure open top,Compile-oriented FeatureScript template for shell enclosure open top.,featurescript;example;shell;enclosure;open;top,shell;enclosure;open;top;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Open Top Shell Enclosure"" }
export const openTopShellEnclosure = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Width"", ""Default"" : ""4 * inch"" }
        isLength(definition.width, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Depth"", ""Default"" : ""3 * inch"" }
        isLength(definition.depth, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Height"", ""Default"" : ""1.5 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Wall Thickness"", ""Default"" : ""0.1 * inch"" }
        isLength(definition.wallThickness, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Open Top"" }
        definition.openTop is boolean;
    }
    {
        var skPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var halfWidth = definition.width / (2 * inch);
        var halfDepth = definition.depth / (2 * inch);
        var sk = newSketchOnPlane(context, id + ""base"", { ""sketchPlane"" : skPlane });
        skRectangle(sk, ""outer"", {
            ""firstCorner"" : vector(-halfWidth, -halfDepth) * inch,
            ""secondCorner"" : vector(halfWidth, halfDepth) * inch
        });
        skSolve(sk);
        opExtrude(context, id + ""block"", {
            ""entities"" : qSketchRegion(id + ""base""),
            ""direction"" : skPlane.normal,
            ""endBound"" : BoundingType.BLIND,
            ""endDepth"" : definition.height
        });
        if (definition.openTop)
        {
            opShell(context, id + ""shell"", {
                ""entities"" : qCapEntity(id + ""block"", CapType.END, EntityType.FACE),
                ""thickness"" : -definition.wallThickness
            });
        }
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the shell enclosure open top template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example fillet and chamfer example,Compile-oriented FeatureScript template for fillet and chamfer example.,featurescript;example;fillet;and;chamfer;example,fillet;and;chamfer;example;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Fillet And Chamfer Block"" }
export const filletAndChamferBlock = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Width"", ""Default"" : ""2 * inch"" }
        isLength(definition.width, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Depth"", ""Default"" : ""1.25 * inch"" }
        isLength(definition.depth, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Height"", ""Default"" : ""0.5 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Fillet Radius"", ""Default"" : ""0.08 * inch"" }
        isLength(definition.filletRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Chamfer Width"", ""Default"" : ""0.04 * inch"" }
        isLength(definition.chamferWidth, LENGTH_BOUNDS);
    }
    {
        var skPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var w = definition.width / (2 * inch);
        var d = definition.depth / (2 * inch);
        var sk = newSketchOnPlane(context, id + ""profile"", { ""sketchPlane"" : skPlane });
        skRectangle(sk, ""rect"", { ""firstCorner"" : vector(-w, -d) * inch, ""secondCorner"" : vector(w, d) * inch });
        skSolve(sk);
        opExtrude(context, id + ""body"", {
            ""entities"" : qSketchRegion(id + ""profile""),
            ""direction"" : skPlane.normal,
            ""endBound"" : BoundingType.BLIND,
            ""endDepth"" : definition.height
        });
        opFillet(context, id + ""fillet"", {
            ""entities"" : qEdgeTopologyFilter(qOwnedByBody(qCreatedBy(id + ""body"", EntityType.BODY), EntityType.EDGE), EdgeTopology.TWO_SIDED),
            ""radius"" : definition.filletRadius
        });
        opChamfer(context, id + ""chamfer"", {
            ""entities"" : qEdgeTopologyFilter(qOwnedByBody(qCreatedBy(id + ""body"", EntityType.BODY), EntityType.EDGE), EdgeTopology.TWO_SIDED),
            ""chamferType"" : ChamferType.EQUAL_OFFSETS,
            ""width"" : definition.chamferWidth
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the fillet and chamfer example template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example hybrid organic flange,Compile-oriented FeatureScript template for hybrid organic flange.,featurescript;example;hybrid;organic;flange,hybrid;organic;flange;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Hybrid Organic Flange"" }
export const hybridOrganicFlange = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Base Radius"", ""Default"" : ""0.65 * inch"" }
        isLength(definition.baseRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Height"", ""Default"" : ""3.5 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Tip Radius"", ""Default"" : ""0.08 * inch"" }
        isLength(definition.tipRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Flange Radius"", ""Default"" : ""1.25 * inch"" }
        isLength(definition.flangeRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Bolt Circle Radius"", ""Default"" : ""0.9 * inch"" }
        isLength(definition.boltCircleRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Bolt Radius"", ""Default"" : ""0.09 * inch"" }
        isLength(definition.boltRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Flange Thickness"", ""Default"" : ""0.2 * inch"" }
        isLength(definition.flangeThickness, LENGTH_BOUNDS);
    }
    {
        var skPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var axisDirection = cross(skPlane.normal, skPlane.x);
        var b = definition.baseRadius / inch;
        var h = definition.height / inch;
        var t = definition.tipRadius / inch;
        var bodySk = newSketchOnPlane(context, id + ""bodyProfile"", { ""sketchPlane"" : skPlane });
        skLineSegment(bodySk, ""axis"", { ""start"" : vector(0, 0) * inch, ""end"" : vector(0, h) * inch });
        skFitSpline(bodySk, ""skin"", { ""points"" : [
            vector(b, 0) * inch,
            vector(b * 0.9, h * 0.25) * inch,
            vector(b * 0.62, h * 0.52) * inch,
            vector(b * 0.34, h * 0.75) * inch,
            vector(t, h) * inch
        ] });
        skLineSegment(bodySk, ""top"", { ""start"" : vector(t, h) * inch, ""end"" : vector(0, h) * inch });
        skLineSegment(bodySk, ""base"", { ""start"" : vector(0, 0) * inch, ""end"" : vector(b, 0) * inch });
        skSolve(bodySk);
        opRevolve(context, id + ""organicBody"", {
            ""entities"" : qSketchRegion(id + ""bodyProfile""),
            ""axis"" : line(skPlane.origin, axisDirection),
            ""angleForward"" : 2 * PI * radian
        });
        var flangePlane = plane(skPlane.origin, axisDirection, skPlane.x);
        var bc = definition.boltCircleRadius / inch;
        var flangeSk = newSketchOnPlane(context, id + ""flangeProfile"", { ""sketchPlane"" : flangePlane });
        skCircle(flangeSk, ""outer"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.flangeRadius });
        skCircle(flangeSk, ""bore"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.baseRadius });
        skCircle(flangeSk, ""bolt0"", { ""center"" : vector(bc, 0) * inch, ""radius"" : definition.boltRadius });
        skCircle(flangeSk, ""bolt1"", { ""center"" : vector(0, bc) * inch, ""radius"" : definition.boltRadius });
        skCircle(flangeSk, ""bolt2"", { ""center"" : vector(-bc, 0) * inch, ""radius"" : definition.boltRadius });
        skCircle(flangeSk, ""bolt3"", { ""center"" : vector(0, -bc) * inch, ""radius"" : definition.boltRadius });
        skSolve(flangeSk);
        opExtrude(context, id + ""flange"", {
            ""entities"" : qSketchRegion(id + ""flangeProfile"", true),
            ""direction"" : axisDirection,
            ""endBound"" : BoundingType.BLIND,
            ""endDepth"" : definition.flangeThickness
        });
        opBoolean(context, id + ""join"", {
            ""tools"" : qCreatedBy(id + ""flange"", EntityType.BODY),
            ""targets"" : qCreatedBy(id + ""organicBody"", EntityType.BODY),
            ""operationType"" : BooleanOperationType.UNION
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the hybrid organic flange template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example vase multi profile loft,Compile-oriented FeatureScript template for vase multi profile loft.,featurescript;example;vase;multi;profile;loft,vase;multi;profile;loft;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Vase Multi Profile Loft"" }
export const vaseMultiProfileLoft = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Height"", ""Default"" : ""5 * inch"" }
        isLength(definition.height, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Base Radius"", ""Default"" : ""0.8 * inch"" }
        isLength(definition.baseRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Belly Radius"", ""Default"" : ""1.25 * inch"" }
        isLength(definition.bellyRadius, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Neck Radius"", ""Default"" : ""0.45 * inch"" }
        isLength(definition.neckRadius, LENGTH_BOUNDS);
    }
    {
        var basePlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var midPlane = plane(basePlane.origin + basePlane.normal * (definition.height * 0.55), basePlane.normal, basePlane.x);
        var topPlane = plane(basePlane.origin + basePlane.normal * definition.height, basePlane.normal, basePlane.x);
        var skA = newSketchOnPlane(context, id + ""baseProfile"", { ""sketchPlane"" : basePlane });
        skCircle(skA, ""base"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.baseRadius });
        skSolve(skA);
        var skB = newSketchOnPlane(context, id + ""bellyProfile"", { ""sketchPlane"" : midPlane });
        skCircle(skB, ""belly"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.bellyRadius });
        skSolve(skB);
        var skC = newSketchOnPlane(context, id + ""neckProfile"", { ""sketchPlane"" : topPlane });
        skCircle(skC, ""neck"", { ""center"" : vector(0, 0) * inch, ""radius"" : definition.neckRadius });
        skSolve(skC);
        opLoft(context, id + ""loft"", {
            ""profileSubqueries"" : [qSketchRegion(id + ""baseProfile""), qSketchRegion(id + ""bellyProfile""), qSketchRegion(id + ""neckProfile"")]
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the vase multi profile loft template,CUSTOM,fs_example,0.9,cad_memory,true
FeatureScript Example lofted airfoil,Compile-oriented FeatureScript template for lofted airfoil.,featurescript;example;lofted;airfoil,lofted;airfoil;FeatureScript;skSolve;geometry.fs,see precondition parameters in feature_pattern,Use as a local retrieval snippet.;Keep FeatureScript 2931 header and geometry import.;Preserve skSolve before downstream operations.,"FeatureScript 2931;
import(path : ""onshape/std/geometry.fs"", version : ""2931.0"");

annotation { ""Feature Type Name"" : ""Lofted Airfoil"" }
export const loftedAirfoil = defineFeature(function(context is Context, id is Id, definition is map)
    precondition
    {
        annotation { ""Name"" : ""Plane"", ""Filter"" : GeometryType.PLANE, ""MaxNumberOfPicks"" : 1 }
        definition.location is Query;
        annotation { ""Name"" : ""Root Chord"", ""Default"" : ""3 * inch"" }
        isLength(definition.rootChord, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Tip Chord"", ""Default"" : ""1.5 * inch"" }
        isLength(definition.tipChord, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Span"", ""Default"" : ""8 * inch"" }
        isLength(definition.span, LENGTH_BOUNDS);
        annotation { ""Name"" : ""Thickness Percent"", ""Default"" : ""12"" }
        isInteger(definition.thicknessPercent, {(unitless) : [6, 12, 18]});
    }
    {
        var rootPlane = isQueryEmpty(context, definition.location)
            ? plane(WORLD_ORIGIN, Z_DIRECTION)
            : evPlane(context, { ""face"" : definition.location });
        var tipPlane = plane(rootPlane.origin + rootPlane.normal * definition.span, rootPlane.normal, rootPlane.x);
        var rt = definition.rootChord / inch;
        var tt = definition.tipChord / inch;
        var tr = definition.thicknessPercent / 100;
        var rootSk = newSketchOnPlane(context, id + ""root"", { ""sketchPlane"" : rootPlane });
        skFitSpline(rootSk, ""rootAirfoil"", { ""points"" : [
            vector(0, 0) * inch,
            vector(rt * 0.25, rt * tr * 0.55) * inch,
            vector(rt * 0.55, rt * tr * 0.36) * inch,
            vector(rt, 0) * inch,
            vector(rt * 0.55, -rt * tr * 0.20) * inch,
            vector(rt * 0.25, -rt * tr * 0.25) * inch,
            vector(0, 0) * inch
        ] });
        skSolve(rootSk);
        var tipSk = newSketchOnPlane(context, id + ""tip"", { ""sketchPlane"" : tipPlane });
        skFitSpline(tipSk, ""tipAirfoil"", { ""points"" : [
            vector(0, 0) * inch,
            vector(tt * 0.25, tt * tr * 0.55) * inch,
            vector(tt * 0.55, tt * tr * 0.36) * inch,
            vector(tt, 0) * inch,
            vector(tt * 0.55, -tt * tr * 0.20) * inch,
            vector(tt * 0.25, -tt * tr * 0.25) * inch,
            vector(0, 0) * inch
        ] });
        skSolve(tipSk);
        opLoft(context, id + ""wing"", {
            ""profileSubqueries"" : [qSketchRegion(id + ""root""), qSketchRegion(id + ""tip"")]
        });
    });",manual edits can break parameter exposure;operation-specific API changes,FeatureScript 2931 header;geometry.fs 2931.0 import;exactly one export const;skSolve present,Use the lofted airfoil template,CUSTOM,fs_example,0.9,cad_memory,true
DeepCAD Sample 00717314 circular_profile,"Dataset sample with 1 sketch(es), 3 loop(s), 1 extrude feature(s), and curves Circle3D:3.",dataset;deepcad;circular_profile;sketch;extrude,DeepCAD;00717314;Circle3D;ExtrudeFeature;Sketch,sampleId;sketchCount;loopCount;extrudeCount;curveTypes,"Use as retrieval metadata, not raw geometry.;Curve counts: Circle3D:3.;Convert closed loops to skRectangle, skCircle, skLineSegment, or skFitSpline where possible.",1 sketch(es) -> skSolve -> 1 opExtrude operation(s); dominant=circular_profile.,unknown units;unsupported sketch curve;open profile,closed loops before qSketchRegion;skSolve before opExtrude;raw dataset remains ignored,Create a parametric spacer or bushing from a circular dataset profile,CYLINDER,dataset_example,0.78,cad_memory,true
DeepCAD Sample 00713350 line_profile,"Dataset sample with 1 sketch(es), 1 loop(s), 1 extrude feature(s), and curves Line3D:4.",dataset;deepcad;line_profile;sketch;extrude,DeepCAD;00713350;Line3D;ExtrudeFeature;Sketch,sampleId;sketchCount;loopCount;extrudeCount;curveTypes,"Use as retrieval metadata, not raw geometry.;Curve counts: Line3D:4.;Convert closed loops to skRectangle, skCircle, skLineSegment, or skFitSpline where possible.",1 sketch(es) -> skSolve -> 1 opExtrude operation(s); dominant=line_profile.,unknown units;unsupported sketch curve;open profile,closed loops before qSketchRegion;skSolve before opExtrude;raw dataset remains ignored,Create a parametric prismatic plate from a rectangular dataset profile,BOX,dataset_example,0.78,cad_memory,true
