title,summary,tags,keywords,parameter_hints,modeling_notes,feature_pattern,failure_modes,validation_rules,example_prompt,shape_type,memory_type,quality_score,source_table,memory_only
Loft Profiles Must Be Topologically Similar,"If two loft profiles differ strongly, insert intermediate profiles or fallback to a revolve/multi-profile strategy.",pruning;loft;topology;mismatch,loft;profile similarity;circle rectangle;intermediate profile;fallback,profile_similarity_score;profile_count;intermediateScale,"Trigger when profile loop counts, curve counts, or semantic classes differ.;Use a rounded-square intermediate for circle-to-rectangle transitions.;Keep all sections centered and solved.",if similarity < 0.7 then add 3rd profile or fallback_to_revolve_or_multi_profile.,loft twist;missing body;self-intersection;invalid profileSubqueries,profile_similarity_score >= 0.7 else insert intermediate profile;all sketches solved,Attempt to loft a circle to a rectangle,CUSTOM,pruning_rule,0.94,pruning_table,true
Use Current opLoft profileSubqueries Key,"The local FS docs use profileSubqueries for opLoft; repair older edges, sections, or vertices keys before returning code.",pruning;loft;featurescript-api,opLoft;profileSubqueries;edges;sections;vertices;repair,profileSubqueries,"Trigger on opLoft maps containing edges, sections, or vertices.;Replace with ordered profileSubqueries array.;Do not pass sketch variables directly.","opLoft(context,id,{""profileSubqueries"":[qSketchRegion(id+""a""), qSketchRegion(id+""b"")]}).",invalid map key;no loft result,opLoft map contains profileSubqueries;does not contain edges/sections/vertices,Loft square to circle over 3 inches,CUSTOM,pruning_rule,0.95,pruning_table,true
Sweep Path Must Be A Connected Wire,"Reject sweep attempts where the path is a sketch region, multiple disconnected edges, or an unsolved sketch.",pruning;sweep;path,opSweep;path;wire;connected;arc;edge,pathContinuity;profileRadius;bendRadius,"Trigger when path uses qSketchRegion or disconnected entities.;Use qCreatedBy(pathSketch, EntityType.EDGE).;Ensure profile radius is smaller than bend radius.","path=qCreatedBy(id+""path"", EntityType.EDGE); profiles=qSketchRegion(id+""profile"").",disconnected path;wrong query type;zero sweep,path query targets edges;path sketch solved;outerRadius < bendRadius,90 degree elbow pipe,CUSTOM,pruning_rule,0.92,pruning_table,true
Sweep Profile Plane Perpendicular To Start Tangent,Place sweep profiles on a plane normal to the first path tangent to prevent twisted or failed sweeps.,pruning;sweep;profile-plane,sweep;profile plane;perpendicular;tangent;pipe,pathStart;tangentStart;profilePlane,"Trigger when profile is on the same plane as the path.;Construct profilePlane from path start and tangent direction.;For elbow arcs, tangent is cross(skPlane.normal, skPlane.x) at the start.","profilePlane = plane(pathStart, tangentStart, skPlane.normal).",profile coplanar with path;twisted sweep;self-intersection,profilePlane.normal approximately tangentStart;profile sketch solved,Sweep a circular tube along an arc,CUSTOM,pruning_rule,0.9,pruning_table,true
Revolve Axis Must Be A Sketch Plane Line,"opRevolve requires a Line value in the sketch plane, not qSketchEntity, qCreatedBy, or a perpendicular plane normal for side silhouettes.",pruning;revolve;axis,opRevolve;axis;Line;cross;skPlane.x;skPlane.normal,axisDirection;profileSide,"Trigger when axis is a query or missing line().;For x=0 profile axes, use line(skPlane.origin, cross(skPlane.normal, skPlane.x)).;Keep the axis coincident with the profile closing edge.","var axis = line(skPlane.origin, cross(skPlane.normal, skPlane.x)); opRevolve(..., {""axis"": axis}).",axis not a Line;flat disk instead of vertical body;open revolve region,axis expression is line(...);profile includes x=0 axis segment,Organic carrot revolved around x=0 axis,CUSTOM,pruning_rule,0.95,pruning_table,true
Organic Spline Control Points Must Stay Stable,"Prevent organic splines from crossing the axis, collapsing to two points, or producing self-intersections.",pruning;organic;spline,skFitSpline;control points;self intersection;axis crossing;organic,controlPointCount;curvatureFactor;tipRadius;baseRadius,Trigger when controlPointCount < 4 or any x < 0.;Clamp tipRadius below baseRadius.;Use monotonic height fractions and gentle curvature multipliers.,"5-7 monotonic points at 0,20,45,70,100 percent height with x >= 0.",self-intersecting revolve profile;open profile;straight cone only,controlPointCount >= 5;all x >= 0;tipRadius <= baseRadius,5 point spline carrot,CUSTOM,pruning_rule,0.93,pruning_table,true
Shell Thickness Must Preserve Interior Volume,"Reject enclosure shells where wall thickness is too large for width, depth, or height.",pruning;shell;wall-thickness,opShell;wall thickness;enclosure;open top;cavity,wallThickness;width;depth;height,"Trigger when wallThickness >= 0.5 * min(width, depth, height).;Reduce wall thickness or scale the envelope.;Shell after the base body exists.","if wallThickness too large then wallThickness = min(width,depth,height)*0.08.",shell failure;zero interior cavity;inside-out shell,"wallThickness < min(width,depth,height)/2;opShell after opExtrude",Open-top electronics enclosure with 0.1 inch walls,BOX,pruning_rule,0.91,pruning_table,true
Boolean Tools And Targets Must Be Separate Bodies,"Boolean operations should not reference the same body as both tool and target, and should happen after both bodies exist.",pruning;boolean;union;subtract,opBoolean;tools;targets;union;subtraction;body,toolQuery;targetQuery;operationType,"Trigger when tools and targets share the same qCreatedBy id.;Create cut tools or flange bodies before boolean.;For simple holes, prefer sketch inner loops over subtract tools.","opBoolean(context,id,{tools:qCreatedBy(toolBody,BODY), targets:qCreatedBy(targetBody,BODY), operationType:UNION}).",no-op boolean;body deleted;invalid query,tools != targets;tool and target operation ids exist before boolean,Organic body with mounting flange,CUSTOM,pruning_rule,0.88,pruning_table,true
Sketch Region Queries Must Use Sketch Id,"qSketchRegion must receive the sketch id expression, not the sketch variable object.",pruning;sketch;query;featurescript,qSketchRegion;sketch variable;id;skSolve;region,sketchId,"Trigger on qSketchRegion(sketch) or qSketchRegion(sk).;Replace with qSketchRegion(id + ""sketchName"").;Use qSketchRegion(id + ""sketchName"", true) for loops with holes when needed.","qSketchRegion(id + ""profile"") not qSketchRegion(profileSketch).",invalid query;no region found;compile error,qSketchRegion argument contains id + string,Any sketch based generation,CUSTOM,pruning_rule,0.96,pruning_table,true
Parameters Must Be Exposed In Precondition,All user-requested dimensions and counts must be editable with FeatureScript precondition declarations.,pruning;parameters;precondition,isLength;isInteger;boolean;precondition;editable,requestedParameterNames,Trigger when prompt names a dimension but code hardcodes it.;Use isLength for dimensional values and isInteger bounds for counts or percentages.;Use boolean for toggles.,annotation + isLength/isInteger/boolean for every requested parameter.,hardcoded dimensions;non-editable output;invalid precondition syntax,requested params appear as definition.param in precondition and body,"Expose baseRadius, height, curvatureFactor, and tipRadius",CUSTOM,pruning_rule,0.93,pruning_table,true
Fillet And Chamfer Last,"Apply fillets and chamfers only after primary solids, booleans, shells, and patterns are valid.",pruning;fillet;chamfer;order,opFillet;opChamfer;edge finishing;operation order,filletRadius;chamferWidth;edgeSpan,"Trigger when fillet/chamfer appears before solid creation.;Clamp radius below local edge span.;If finishing fails, omit finishing rather than breaking base geometry.",solid body -> boolean/shell -> optional opFillet/opChamfer.,edge query empty;radius too large;finishing breaks model,opFillet/opChamfer after primary solid;radius < min dimension / 4,Filleted enclosure with chamfered edges,CUSTOM,pruning_rule,0.87,pruning_table,true
